charactor,text
サーバル,ふああ…。
かばん,はあ…はあ…うう…はあ…はあ…うう…。
サーバル,
かばん,あっ？
サーバル,うあー！ えひひひ！ いひひひ！ あははは！ うう！ いひひひ！ うひひ！ ああ！ うあ！ おーお！
かばん,うあーあ！ うわー！
サーバル,わーい！
かばん,どこここ？ なんでー？
サーバル,狩りごっこだねー？ 負けないんだからー！
サーバル,みゃー！ みゃー！
かばん,うう！
サーバル,みゃー！
かばん,う〜〜！
サーバル,あれ…？ 隠れちゃった…。
かばん,はあ…。
サーバル,あっ！ そこだー！ 
かばん,うっ…うう…た、食べないでくださーい！
サーバル,食べないよ！
かばん,うっ…うう…。
サーバル,ごめんね、あたし、狩りごっこが大好きで…あなた、狩りごっこあんまり好きじゃないけものなんだね。
サーバル,ええっと、その…。
かばん,うう…あっ、ああ…。
サーバル,あっ！ ちょっと元気になった？
かばん,いえ、はい…大丈夫です。 あなたは、ここの人ですか？ ここ…どこなんでしょうか…？
サーバル,ここはジャパリパークだよ。 わたしはサーバル。 この辺はわたしの縄張りなの。
かばん,サーバル…さん。 じゃあ、その、お耳と尻尾は？
サーバル,どうして？ 何か、珍しい？ あなたこそ、しっぽと耳のないフレンズ？ 珍しいね。
かばん,フレンズ…？
サーバル,どこから来たの？ 縄張りは？
かばん,ああ、わかりません…憶えてないんです。 気付いたらここにいて…。
サーバル,ああっ、昨日のサンドスターで生まれた子かなあ？
かばん,サンド…スター…？
サーバル,そう！ 昨日あの山から吹き出したんだよ。 まだ周りがキラキラしてるでしょう！
サーバル,そして…なんのフレンズか調べるには…鳥の子なら、ここに羽！
サーバル,あ…ない…。
サーバル,フードがあれば、蛇の子！
サーバル,でもない…あーれー？
サーバル,あれ？ これは？
かばん,えっ…かばん…かなあ？
サーバル,かばん…かばん！ かばん！ かばん！
かばん,ヒントに、なります？
サーバル,わかんないや。 これは図書館にいかないとわかんないかも。
かばん,図書館…？
サーバル,そう。 わかんない時は、図書館で教えてもらうんだ。
かばん,そこで、ぼくが、なんの動物か…ありがとうございます、サーバルさん。
かばん,図書館って、どっちに行ったらいいですか？
サーバル,途中まで案内するよ。 いこういこう！
かばん,ああ、すみません。 よろしくお願いします。
サーバル,あれ？ それまで、なんて呼べばいいのかなあ…。
サーバル,かばんちゃんで！ どう？
かばん,はい！ ありがとうございます。
サーバル,ガーイド！ ガーイド！ サバンナガーイドー！
かばん,
サーバル,広くて見晴らしいいでしょー！ さばんなちほーって言うんだよ！
かばん,ここは、サーバルさんひとりの縄張りなんですか？
サーバル,まさか！ 他にもいっぱいいるよ。
サーバル,例えばね…あっ！ …あそこにシマウマちゃんがいるね。
かばん,えっ…えー…見つからないです…。
サーバル,あっ、隠れちゃった…。
サーバル,あとはねえ、その横に、トムソンガゼルちゃんがいるよ。
かばん,あっ！ わかります！
サーバル,他にもいっぱいいるよ！ さばんなちほーは広いから、たくさんフレンズがいるんだ！
サーバル,図書館はじゃんぐるちほーの先だから、サバンナの出口まで案内するよ。
かばん,出口って、けっこう遠いんですか？
サーバル,すぐ近くだよ！ さ、いこういこう！
かばん,あ、ええ…？
サーバル,えい、えい、えい！
かばん,うええ…。
サーバル,早く早くー！
かばん,うう、うう…。
サーバル,ゆっくりな動き…あなたもしかして、ナマケモノのフレンズとか？
かばん,ええっ？ ナマケモノ？
